	tags	eval_acc
62	RBM14	0.96890756302521
72	SPI1	0.9573578703523962
42	MAFF	0.93955146294371
78	THAP1	0.9379641764962866
14	E2F4	0.918800062823936
59	RAD212	0.9151770201922704
114	ZNF777	0.9124111182934712
82	USF2	0.9103878571167948
3	BLC3	0.90890595644852
85	ZBED52	0.9051094890510948
81	UBTF	0.9040824415378518
54	NR3C1	0.9023706063168104
20	FOXA2	0.9011409029514038
87	ZBTB26	0.9008761794723666
68	SAP30	0.8995230524642289
109	ZNF585B	0.8992042440318302
89	ZC3H11A	0.8982969537059247
0	AGO2	0.8959986952267044
11	CREB1	0.8906846399432423
61	RBBP5	0.8902315704317929
38	KDM5B	0.882985877605918
22	FOXP2	0.881830718841579
56	POLR2A	0.8799047933520444
66	RUNX3	0.8794068082237951
9	CEBPZ	0.8775677896466721
52	NONO	0.8760561834741578
88	ZBTB6	0.8725422559503277
51	NFYC	0.8716349809885932
5	CBFA2T3	0.8710055290038422
7	CBX1	0.8694782463743957
37	JUND	0.8692162856795126
60	RARA	0.8690104747047025
53	NR2F62	0.8674933904066474
36	IRF5	0.8658969804618117
57	POLR2AphosphoS5	0.8653081156208328
108	ZNF560	0.8626887131560029
110	ZNF596	0.8624567474048442
105	ZNF521	0.8620689655172413
25	H2AK9ac	0.8593809778866018
91	ZFP642	0.856144578313253
83	VEZF1	0.8542832071953493
23	GATA4	0.8521848588383384
112	ZNF652	0.8514044095439445
63	RBM25	0.8506638289246985
76	TEAD4	0.849889165973954
67	SAP130	0.8497816593886462
100	ZNF449	0.8495960223741454
13	DEK	0.8473302924604239
71	SOX5	0.845153448799757
41	LARP7	0.8445301861098502
96	ZNF280C	0.8419182948490231
84	YY2	0.840828820343772
103	ZNF514	0.8382789317507419
74	TAF7	0.8379969211265055
104	ZNF518A	0.837696335078534
34	IKZF52	0.8374343832020997
50	NFKBIZ	0.83685902860044
90	ZEB1	0.8355395809590602
40	KMT2B2	0.8345232611699678
73	STAT2	0.83399209486166
6	CBFB	0.8336409783110291
113	ZNF692	0.8321010695571028
77	TGIF22	0.8308964525407478
69	SCRT1	0.8308277654046028
107	ZNF544	0.826946847960445
86	ZBTB2	0.8262929867316545
111	ZNF610	0.8215187742044116
26	H3K14ac	0.8210772209162206
30	HDAC1	0.8208628114426331
31	HDAC2	0.8201861360718871
21	FOXK2	0.8199180938198064
16	E4F1	0.8187507902389682
101	ZNF48	0.8181818181818182
75	TCF7	0.817411291481109
98	ZNF384	0.817184776292853
29	H4K8ac	0.8155380230951441
12	CTBP1	0.8145280843353648
65	RNF2	0.813355309159924
117	ZXDB	0.8131426625808649
33	HMBOX1	0.8129722387299431
116	ZSCAN9	0.8124691358024692
93	ZNF18	0.8122132015531239
102	ZNF512	0.811746657900504
55	PCBP2	0.8113985751781028
39	KLF10	0.8112068001342132
106	ZNF530	0.8101545253863135
47	NCOA1	0.8101064480606877
115	ZNF792	0.8090280740677532
15	E2F7	0.8059822150363783
49	NCOR1	0.8005950678033987
99	ZNF416	0.7996918335901386
19	FEZF1	0.7955337933081089
32	HES1	0.7949836423118866
95	ZNF24	0.7939617274372899
24	GFI1B	0.7892938496583144
44	MLLT1	0.785895148759855
70	SMAD1	0.7797372901970323
17	EP400	0.7759045132413278
43	MCM7	0.7740571025731406
64	RCOR22	0.7727725511898174
27	H3K27me3	0.7659081265272151
28	H3K79me1	0.7646450519177792
1	ARID3A	0.7640707657618593
46	NBN	0.7599678271860278
92	ZNF112	0.7539585870889159
48	NCOA4	0.7538200339558574
2	ARNT	0.7504427628401223
80	TRIM28	0.7474906586563118
94	ZNF217	0.7448626287153199
8	CBX2	0.7419871794871795
45	MYBL2	0.7395273899033298
4	BRD9	0.7386969952260601
97	ZNF318	0.7315970727507534
35	ILF3	0.7158730158730159
10	CHD7	0.7095272206303725
58	PTRF	0.7050395256916996
79	THRAP3	0.6835654596100279
18	EWSR1	0.6057553956834533
