	config	name	tags	train_loss	eval_precision	eval_Validation loss	_step	_runtime	eval_mcc	_timestamp	eval_recall	learning_rate	eval_f1	eval_acc	eval_auc	Confusion Matrix.path	Confusion Matrix.size	Confusion Matrix._type	Confusion Matrix.width	Confusion Matrix.format	Confusion Matrix.height	Confusion Matrix.sha256	_wandb.runtime
3	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_29th_2024_17_51_42_logstep=1593_bs=80_lr=0.0001_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	EGR2	0.003934183081023374	0.9573553833691067	0.321884071104618	15930.0	14154.1926445961	0.9141482701705124	1717033658.960883	0.9567930597535562	1.0452233293847121e-07	0.9567864105745184	0.9568		media/images/Confusion Matrix_14337_323246492de768ce5182.png	55531.0	image-file	1200.0	png	1200.0	323246492de768ce518270c7e3dddfe6ff1aa29bf35441958ff96a2ad57e5d71	14254.0
27	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.001, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_23th_2024_16_00_45_logstep=2124_bs=60_lr=0.0001_wp=0.1_dp=0.1_wd=0.001_len=300_epoch=15.0	ZFHX2	0.005909065357631122	0.9476189142211496	0.40376337080603114	21240.0	13256.623403310776	0.8950387294223592	1716507703.7670984	0.9474198373408124	7.841087297438579e-08	0.9473300738842168	0.9473333333333334		media/images/Confusion Matrix_19116_f5a5fd75400ae1315e71.png	56187.0	image-file	1200.0	png	1200.0	f5a5fd75400ae1315e71a86be33f82ecd6fd806660ef17d69d6a81a4ad1f95d4	13350.0
22	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_04th_2024_01_10_50_logstep=1593_bs=80_lr=0.0001_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	NFE2	0.004649777420471909	0.9422062031481148	0.4346559537535018	15930.0	14233.0209608078	0.8844090337244945	1717492084.9098258	0.9422028305828098	1.0452233293847121e-07	0.9421999565857452	0.9422		media/images/Confusion Matrix_14337_5480286b06edfd0147bb.png	56197.0	image-file	1200.0	png	1200.0	5480286b06edfd0147bbcd7cd43ea5fda48fa02ef503b460f1a223d8a45d729d	14336.0
28	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_29th_2024_07_24_15_logstep=1573_bs=60_lr=0.0001_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	ZNF121	0.011562653703096865	0.936368319614582	0.4584774057834937	15730.0	9830.167192697523	0.8727331484152581	1716991687.3937576	0.9363648288076574	1.4109347442680778e-07	0.9363665666224958	0.9363979848866498		media/images/Confusion Matrix_14157_ef30ffe68cd06d4c74a6.png	55446.0	image-file	1200.0	png	1200.0	ef30ffe68cd06d4c74a6d5b2a445da17d7c77f54ea4363ca50cfdb095192713c	9908.0
0	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0003, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_23th_2024_15_18_16_logstep=121_bs=1040_lr=0.0003_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	CEBPA	0.008736996926859883	0.9210790900479986	0.4492418269316355	1210.0	2570.4536986351013	0.8413259016562117	1716494467.4083257	0.9202472228655147	5.420054200542004e-06	0.9199094553163204	0.9199333333333334	0.9717192563844866	media/images/Confusion Matrix_1089_df9d19260906878f257e.png	58399.0	image-file	1200.0	png	1200.0	df9d19260906878f257e28ae35dc418f57d5c80823069965680346759262c120	2620.0
1	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_24th_2024_00_13_39_logstep=1593_bs=80_lr=0.0001_wp=0.1_dp=0.1_wd=0.005_len=300_epoch=15.0	CEBPB	0.006428110550092009	0.9175958449765566	0.6442538074990536	15930.0	14336.096091270449	0.8344594069158572	1716538357.6968074	0.916863882966469	1.0452233293847121e-07	0.9168299886916798	0.9168666666666668		media/images/Confusion Matrix_14337_666c48561c8add0cc86e.png	55775.0	image-file	1200.0	png	1200.0	666c48561c8add0cc86e4b7a20d8d7540d7fe207fb8b54150d3d687f7b048b9e	14435.0
24	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_23th_2024_22_49_54_logstep=1593_bs=80_lr=0.0001_wp=0.1_dp=0.1_wd=0.005_len=300_epoch=15.0	RUNX3	0.009189173293996638	0.915423287620084	0.5745363751862277	15930.0	11047.748490810394	0.8308948936782861	1716530044.31593	0.9154716074631976	1.0452233293847121e-07	0.9152663047596394	0.9152666666666668		media/images/Confusion Matrix_14337_ea1aeb64087cc6ff075f.png	55424.0	image-file	1200.0	png	1200.0	ea1aeb64087cc6ff075fbbff44cfa7d9fd1c92da96dfc90ad400e148b6f8b1d5	11139.0
4	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.001, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0003, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_25th_2024_06_21_28_logstep=121_bs=1040_lr=0.0003_wp=0.1_dp=0.1_wd=0.001_len=300_epoch=15.0	FOS	0.010087737411429936	0.9145360258418236	0.4783460577329	1210.0	2260.4629361629486	0.8290748816024374	1716634749.4667785	0.9145388557654436	5.420054200542004e-06	0.9145332786346316	0.9145333333333332	0.9672869807448654	media/images/Confusion Matrix_1089_7fe13c815e46b28953e3.png	57062.0	image-file	1200.0	png	1200.0	7fe13c815e46b28953e37ea7141e4f192bc63ae6174076ac3435a6998ace173c	2310.0
29	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_05th_2024_09_09_13_logstep=1593_bs=80_lr=0.0001_wp=0.1_dp=0.1_wd=0.005_len=300_epoch=15.0	ZNF143	0.011386110611971983	0.8988549330034094	0.6937372193057486	15930.0	11084.95901465416	0.7973943873505043	1717604040.150025	0.8985395167299153	1.0452233293847121e-07	0.8983884388623773	0.8984		media/images/Confusion Matrix_14337_420da4d6489a6db8d28d.png	56187.0	image-file	1200.0	png	1200.0	420da4d6489a6db8d28d33472f1e3fee2a9206c2593f15f40b53d8aa36707536	11178.0
25	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.001, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_27th_2024_20_34_30_logstep=1593_bs=80_lr=0.0001_wp=0.1_dp=0.1_wd=0.001_len=300_epoch=15.0	TRIM22	0.021519989079372796	0.8780791442627337	0.8398135337740817	15930.0	11116.180341482162	0.7556997257643499	1716867588.3445363	0.877620720546449	1.0452233293847121e-07	0.8776231064754423	0.8776666666666667		media/images/Confusion Matrix_14337_cf4ef060a1acb9f183a9.png	55529.0	image-file	1200.0	png	1200.0	cf4ef060a1acb9f183a91b206b45810e2b2a8d61db5046909c7926518e8e525d	11211.0
