	tags	eval_acc
3	EGR2	0.9568
27	ZFHX2	0.9473333333333334
22	NFE2	0.9422
28	ZNF121	0.9363979848866498
0	CEBPA	0.9199333333333334
1	CEBPB	0.9168666666666668
24	RUNX3	0.9152666666666668
4	FOS	0.9145333333333332
29	ZNF143	0.8984
25	TRIM22	0.8776666666666667
30	ZNF366	0.8769046275395034
26	ZBTB33	0.8678
23	RAD21	0.863
18	H3K9me1	0.8542666666666666
6	H2AK5ac	0.8474666666666667
21	IKZF1	0.8244
10	H3K14ac	0.8206
7	H2BK12ac	0.8205333333333333
20	H4K8ac	0.82
2	CTCF	0.8176
8	H2BK5ac	0.7834
15	H3K79me1	0.7707333333333334
5	H2AFZ	0.7150666666666666
17	H3K9ac	0.7086666666666667
12	H3K27me3	0.6870666666666667
14	H3K4me2	0.6747333333333333
11	H3K27ac	0.6746
13	H3K36me3	0.6462
9	H3F3A	0.6384666666666666
19	H3K9me3	0.6377333333333334
16	H3K79me2	0.6259333333333333
