	index	config	name	tags	_step	eval_f1	_runtime	eval_acc	train_loss	eval_precision	eval_auc	eval_mcc	_timestamp	eval_recall	learning_rate	eval_Validation loss	Confusion Matrix.size	Confusion Matrix._type	Confusion Matrix.width	Confusion Matrix.format	Confusion Matrix.height	Confusion Matrix.sha256	Confusion Matrix.path	_wandb.runtime
218	4971	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_February_28th_2024_15_40_02_logstep=13_bs=1040_lr=0.0001_wp=0.1_dp=0.1_wd=0.0005_len=100_epoch=10.0	RBM14	39.0	0.9688630376748052	74.81882500648499	0.96890756302521	0.0920053760592754	0.9691873103573208	0.9852445992519104	0.9378372309787066	1709152878.527214	0.9686500744979516	2.4444444444444445e-05	0.11140144988894464	54098.0	image-file	1200.0	png	1200.0	0c513eeb43bf3a6a0c68d630e04dae33126ec2352d390a5206fee17cde4a5c50	media/images/Confusion Matrix_26_0c513eeb43bf3a6a0c68.png	96.0
231	162	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.001, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_April_08th_2024_10_07_33_logstep=3_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.001_len=100_epoch=10.0	SAFB	30.0	0.9680891643716922	78.6740665435791	0.9680895151263986	0.09733103464047116	0.9682478391711212	0.9866696903475858	0.936585772412176	1712585332.7440815	0.968337937574733	0.0	0.11246103048324584	55238.0	image-file	1200.0	png	1200.0	813516ac47ebf073631d951424352c57d4d1daab428a3b4da78cb852fc85dbca	media/images/Confusion Matrix_27_813516ac47ebf073631d.png	82.0
266	876	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.001, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_April_04th_2024_00_16_42_logstep=12_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.001_len=100_epoch=10.0	TAF15	84.0	0.9599111945761848	200.67719674110413	0.9599355284365646	0.12117720767855644	0.9601220744159312	0.9832755290619534	0.9199203253740584	1712204403.8026657	0.9597983079330245	7.407407407407407e-05	0.1398857682943344	59276.0	image-file	1200.0	png	1200.0	330bf69d47c96593e1e949611e236e0aa4fe9797fe1e447d35c61164bd035f95	media/images/Confusion Matrix_72_330bf69d47c96593e1e9.png	216.0
255	4206	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 3e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_02th_2024_19_04_02_logstep=891_bs=1040_lr=3e-05_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	SPI1	2673.0	0.9573551071370532	5120.843424081802	0.9573578703523962	0.10380717434666374	0.9574668846355654	0.9907439520322934	0.9148214849813828	1709429363.845528	0.9573546072358032	3.434004474272931e-06	0.1288187700510025	59915.0	image-file	1200.0	png	1200.0	575ab32bb90a97decbb6f28b92756859ea79f98d30613670aa0a94988b11c62b	media/images/Confusion Matrix_1782_575ab32bb90a97decbb6.png	5744.0
291	242	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_April_08th_2024_05_28_38_logstep=61_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.0005_len=100_epoch=10.0	USF1	366.0	0.9518471758031288	808.2882046699524	0.951848486966245	0.0489218678386485	0.9518920530535352	0.9858220292898072	0.9037386216538006	1712569327.582311	0.951846569744806	0.00014285714285714284	0.20891687680374493	59764.0	image-file	1200.0	png	1200.0	f92813573e1bb86039ba5243ccb919e44de0d40234ba3c94d18e2d72b93c05f8	media/images/Confusion Matrix_305_f92813573e1bb86039ba.png	928.0
367	412	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_April_06th_2024_14_48_33_logstep=4_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	ZNF426	40.0	0.9500445756094562	89.9083104133606	0.950153846153846	0.16607457026839256	0.9536499893674248	0.952733462117732	0.9036367051956008	1712429404.0221744	0.9499941111623202	0.0	0.17653176188468933	57201.0	image-file	1200.0	png	1200.0	1b26dbff726106ad20b8e368dabe6e374404072201df5967fcabe6ee0b4e8687	media/images/Confusion Matrix_36_1b26dbff726106ad20b8.png	93.0
150	2196	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 3e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_25th_2024_04_41_12_logstep=1435_bs=1040_lr=3e-05_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	MAFK	4305.0	0.9476195884346682	8278.244559049606	0.9476234091785576	0.12921646253468683	0.9477713826767388	0.9849200452928476	0.8954012928862971	1711364351.415679	0.9476299213840434	3.37508698677801e-06	0.1546630351493756	58708.0	image-file	1200.0	png	1200.0	23bdbf776652b0c4bed56c915471cb585e6aba4169fa18f9914a9baaedbf97a3	media/images/Confusion Matrix_2870_23bdbf776652b0c4bed5.png	9269.0
68	1136	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_April_02th_2024_15_50_56_logstep=6_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.0005_len=100_epoch=10.0	FUS	48.0	0.941330648345355	171.20339059829712	0.941439322671684	0.17203793674707413	0.9446780209826618	0.9607634060676458	0.8860913157988827	1712087628.1510105	0.9414192870378052	4.4444444444444447e-05	0.16319455206394196	57971.0	image-file	1200.0	png	1200.0	8e97b7db2b6af5d0c71a42f0cfe31a126ff61ba1f698524e4be4ac824005a2cc	media/images/Confusion Matrix_42_8e97b7db2b6af5d0c71a.png	183.0
148	2784	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.0003, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_14th_2024_22_03_58_logstep=465_bs=1040_lr=0.0003_wp=0.1_dp=0.1_wd=0.0005_len=100_epoch=10.0	MAFF	1395.0	0.9395421273795976	2660.719082593918	0.93955146294371	0.04213749596708885	0.939842086517302	0.9748438417127394	0.8794005495460903	1710470900.3295035	0.9395585087510404	3.5256410256410254e-05	0.32285500795413286	59196.0	image-file	1200.0	png	1200.0	ff50b8e157e3cb5532eb3868a97af3a54c82420c9dd6edda3eef16a95ed3719c	media/images/Confusion Matrix_930_ff50b8e157e3cb5532eb.png	2995.0
281	4383	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.0003, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_02th_2024_02_55_58_logstep=25_bs=1040_lr=0.0003_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	THAP1	75.0	0.937904433678226	145.26603293418884	0.9379641764962866	0.11686812698841097	0.9381404875274084	0.9837563133820784	0.8759006935710064	1709366304.660328	0.9377602885593724	5.5555555555555545e-05	0.1633352736632029	55062.0	image-file	1200.0	png	1200.0	245231f49fd1e61cb962c5f4cc5bb2c5a4445d68878655e797451e2136b0e832	media/images/Confusion Matrix_50_245231f49fd1e61cb962.png	176.0
