	tags	eval_acc
217	RBM14	0.96890756302521
230	SAFB	0.9680895151263986
265	TAF15	0.9599355284365646
254	SPI1	0.9573578703523962
290	USF1	0.951848486966245
365	ZNF426	0.950153846153846
149	MAFK	0.9476234091785576
68	FUS	0.941439322671684
147	MAFF	0.93955146294371
280	THAP1	0.9379641764962866
258	SRSF1	0.9371406669221924
333	ZNF146	0.93634540272353
116	HNRNPLL	0.9356025221858943
192	PCBP1	0.934661525278492
2	AGO1	0.9345776031434184
60	FOS	0.9337834818657996
394	ZNF654	0.933071740578959
177	NFE2L2	0.930439241155358
14	C11orf30	0.9290077262246672
26	CEBPB	0.9230746339721462
115	HNRNPL	0.9227409638554216
48	EGR2	0.9196378495312876
43	E2F4	0.918800062823936
315	ZFHX2	0.9185416509895402
403	ZNF770	0.918145537912881
159	MITF	0.9155145025592752
212	RAD212	0.9151770201922704
78	GLIS2	0.9151206800273004
332	ZNF143	0.914984450619215
148	MAFG	0.9135108588890102
405	ZNF777	0.9124111182934712
378	ZNF555	0.9108873974645788
351	ZNF316	0.9107304521846856
291	USF2	0.9103878571167948
61	FOSL2	0.9103874853488992
165	MXD3	0.9097574732092498
10	BLC3	0.90890595644852
220	RBM39	0.9062622054419998
298	ZBED52	0.9051094890510948
237	SIN3B	0.905059337913804
289	UBTF	0.9040824415378518
213	RAD21M	0.9035823858509294
186	NR3C1	0.9023706063168104
189	PAX5	0.901359549740516
63	FOXA2	0.9011409029514038
304	ZBTB26	0.9008761794723666
232	SAP30	0.8995230524642289
384	ZNF585B	0.8992042440318302
311	ZC3H11A	0.8982969537059247
3	AGO2	0.8959986952267044
391	ZNF623	0.8952844436986072
62	FOXA1	0.8952341397570346
47	EGR1	0.8952320559402207
248	SMC3	0.8935372326235477
287	U2AF1	0.8924293785310734
169	MYC	0.89167437846381
257	SRF	0.891156462585034
32	CREB1	0.8906846399432423
277	TFDP12	0.8904240620682325
215	RBBP5	0.8902315704317929
350	ZNF292	0.8896103896103896
69	GABPB1	0.8892456412912135
261	STAT3	0.8888865501999579
150	MAZ	0.8883796740172579
325	ZIC2	0.8877494236425789
318	ZFP36	0.8877482811306341
275	TFAP4	0.8849185946872322
329	ZNF121	0.8847183236503688
263	SUZ12	0.8844482592135615
134	KDM5B	0.882985877605918
67	FOXP2	0.881830718841579
142	KLF9	0.88113074204947
200	POLR2A	0.8799047933520444
50	ELK1	0.8797073638762293
228	RUNX3	0.8794068082237951
242	SMAD42	0.8790649293769845
15	CBFA2T2	0.878089716203845
294	XRCC5	0.8779469143265374
28	CEBPZ	0.8775677896466721
182	NONO	0.8760561834741578
406	ZNF785	0.8756114605171209
156	MEIS2	0.8751178133836004
264	TAF1	0.8750928079988121
112	HNF4G	0.873628760725535
27	CEBPG	0.8736151654767348
113	HNRNPH1	0.8734069668649108
416	ZSCAN4	0.8728012105163608
308	ZBTB6	0.8725422559503277
201	POLR2AphosphoS5	0.8720795847967495
77	GLIS1	0.8718546132339235
180	NFYC	0.8716349809885932
256	SREBF2	0.8715753424657534
16	CBFA2T3	0.8710055290038422
204	POU2F2	0.8698976590989296
18	CBX1	0.8694782463743957
131	JUND	0.8692162856795126
214	RARA	0.8690104747047025
417	ZSCAN5A	0.8689223770258743
195	PHF20	0.8686514886164624
198	PKNOX1	0.868591799292991
235	SETDB1	0.8683989941324393
288	U2AF2	0.8682588597842835
66	FOXP1	0.8680129347323963
185	NR2F62	0.8674933904066474
229	RXRA	0.86696735942879
98	HBP1	0.8668407310704961
252	SP5	0.8663891366835167
128	IRF5	0.8658969804618117
239	SIX5	0.8657998329953477
96	H4K12ac	0.8654612674022298
362	ZNF398	0.8648440178265341
170	MYRF	0.8632040965618142
102	HDAC6	0.8631680618158403
76	GLI4	0.8629927286643705
380	ZNF560	0.8626887131560029
387	ZNF596	0.8624567474048442
372	ZNF521	0.8620689655172413
38	DEAF1	0.8613037447988904
227	RUNX1	0.861268403171008
162	MNT	0.8601217186448283
234	SCRT2	0.86001386001386
347	ZNF263	0.8594549001001635
82	H2AK9ac	0.8593809778866018
273	TEAD32	0.8593698720052511
152	MBD2	0.8587336646420026
310	ZBTB8A	0.8574442832651985
320	ZFP642	0.856144578313253
81	GTF2F1	0.8555855742648907
326	ZMYM3	0.8554205057831797
110	HMGXB4	0.8547373509506929
292	VEZF1	0.8542832071953493
302	ZBTB20	0.8528072837632777
71	GATA4	0.8521848588383384
54	ESRRA	0.851963746223565
393	ZNF652	0.8514044095439445
9	ATF3	0.851239785459549
219	RBM25	0.8506638289246985
29	CHD2	0.8503617501818321
274	TEAD4	0.849889165973954
